time, Quad.IMU.AX
4.424862,-0.398407
4.429862,-0.009458
4.434861,-1.262066
4.439861,0.552320
4.444860,-0.173492
4.449860,0.545096
4.454860,-0.433201
4.459859,-0.246759
4.464859,0.673583
4.469859,0.032791
4.474858,-0.771589
4.479858,-0.607103
4.484858,-0.747911
4.489857,-0.376625
4.494857,-0.477870
4.499856,0.591853
4.504856,0.234942
4.509856,0.229250
4.514855,-0.442819
4.519855,-0.473934
4.524855,-0.056020
4.529854,-0.159946
4.534854,-0.468068
4.539854,-0.959548
4.544853,0.674043
4.549853,0.036853
4.554852,-0.462340
4.559852,-0.171072
4.564852,-0.065517
4.569851,0.125831
4.574851,-0.523640
4.579851,0.724471
4.584850,-0.396327
4.589850,-0.192282
4.594850,1.490419
4.599849,-0.656945
4.604849,-0.346269
4.609848,0.820113
4.614848,0.200683
4.619848,-0.430161
4.624847,-0.032028
4.629847,0.054846
4.634847,0.293659
4.639846,-0.088951
4.644846,0.355047
4.649846,-0.107910
4.654845,-0.767384
4.659845,0.156128
4.664845,-0.364582
4.669844,0.137693
4.674844,0.236361
4.679843,0.231472
4.684843,-0.331093
4.689843,1.273607
4.694842,-0.737568
4.699842,-0.692606
4.704842,-1.053120
4.709841,0.060506
4.714841,-0.818220
4.719841,0.616681
4.724840,-0.956105
4.729840,-0.717142
4.734839,0.173340
4.739839,0.333977
4.744839,-0.565200
4.749838,-0.280115
4.754838,0.355499
4.759838,0.125459
4.764837,-0.200334
4.769837,-0.015663
4.774837,0.047481
4.779836,-0.290809
4.784836,-1.326866
4.789835,-0.319850
4.794835,-0.011587
4.799835,0.492681
4.804834,0.290836
4.809834,-0.163476
4.814834,-0.225099
4.819833,0.241644
4.824833,0.852820
4.829833,-0.532718
4.834832,-0.631184
4.839832,0.159454
4.844831,0.308811
4.849831,0.279954
4.854831,-0.379179
4.859830,-0.418263
4.864830,0.172053
4.869830,-0.393941
4.874829,0.607700
4.879829,-0.433111
4.884829,0.542182
4.889828,0.081232
4.894828,0.613849
4.899827,-0.082634
4.904827,-0.010450
4.909827,0.037340
4.914826,1.088314
4.919826,-0.065044
4.924826,-0.079168
4.929825,-0.224091
4.934825,0.859928
4.939825,-0.817595
4.944824,-0.252275
4.949824,0.059860
4.954823,-0.317192
4.959823,0.669580
4.964823,0.392889
4.969822,0.473529
4.974822,0.179792
4.979822,-0.126125
4.984821,-0.890799
4.989821,0.186848
4.994821,-0.322298
4.999820,-0.374457
5.004820,0.130676
5.009820,-0.382977
5.014819,-0.533682
5.019819,0.294119
5.024818,-0.412314
5.029818,0.006637
5.034818,-0.424183
5.039817,0.767789
5.044817,0.406264
5.049817,0.723838
5.054816,0.120151
5.059816,-0.015951
5.064816,0.450880
5.069815,-0.328514
5.074815,0.301766
5.079814,-0.270976
5.084814,0.315742
5.089814,-0.623384
5.094813,-0.155186
5.099813,0.128493
5.104813,-0.170693
5.109812,-0.169839
5.114812,-0.268733
5.119812,-0.125656
5.124811,0.349196
5.129811,0.182124
5.134810,0.527107
5.139810,-0.297703
5.144810,-0.594511
5.149809,0.160532
5.154809,-0.961118
5.159809,0.790133
5.164808,0.548174
5.169808,0.078233
5.174808,0.380406
5.179807,-0.796146
5.184807,-0.354527
5.189806,0.593238
5.194806,0.069143
5.199806,0.668742
